날짜,나이키덩크로우골든로드,나이키덩크로우라이트본,나이키덩크로우바시티그린,나이키덩크로우범고래,나이키덩크로우유니버시티블루,나이키덩크로우코스트,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드,조던1로우스타피쉬,조던1로우울프그레이,조던1로우트레비스스캇,뉴발란스992그레이,뉴발란스992네이비,뉴발란스992블랙그레이,뉴발란스992화이트실버,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2021-05-31,,,,8.0,,9.0,,9.0,1.0,13.0,,10.0,,24.0,,41.0,,,,22,3.0,3.0,1.0,4.0,20,9.0
2021-06-01,,,,7.0,,35.0,,9.0,1.0,,,,,28.0,,11.0,,,,14,2.0,6.0,,2.0,29,3.0
2021-06-02,,,,7.0,,17.0,,11.0,1.0,,,,,14.0,,30.0,,,,24,3.0,1.0,1.0,1.0,20,5.0
2021-06-03,,,,7.0,,41.0,,10.0,1.0,,,,,8.0,,46.0,,,3.0,30,2.0,3.0,,1.0,29,2.0
2021-06-04,,,,5.0,,35.0,,8.0,,,,,,4.0,,38.0,,,,42,1.0,2.0,,4.0,19,2.0
2021-06-05,,,,6.0,,24.0,,6.0,,,3.0,,,3.0,,29.0,,,,23,3.0,10.0,,2.0,15,4.0
2021-06-06,,,,5.0,,14.0,,6.0,,,3.0,,,9.0,,37.0,,,2.0,19,3.0,12.0,,3.0,22,5.0
2021-06-07,,,1.0,5.0,,29.0,,10.0,,,,,,16.0,,15.0,,,,19,1.0,17.0,2.0,4.0,23,4.0
2021-06-08,,,,5.0,,49.0,,7.0,,,,,,1.0,,20.0,,,2.0,8,7.0,10.0,2.0,2.0,18,3.0
2021-06-09,,,,3.0,,32.0,,6.0,,16.0,13.0,,,13.0,,8.0,,,,8,3.0,17.0,,,21,5.0
2021-06-10,,,,3.0,,27.0,,9.0,,,,,,9.0,,11.0,,,,16,3.0,12.0,,3.0,18,7.0
2021-06-11,,,,2.0,,19.0,1.0,6.0,1.0,,,,,19.0,,14.0,,,,17,1.0,17.0,,1.0,12,5.0
2021-06-12,,,,2.0,,17.0,,3.0,,,,3.0,,5.0,,10.0,,,,11,3.0,16.0,,8.0,23,4.0
2021-06-13,,,1.0,3.0,,41.0,,3.0,,,13.0,,,10.0,,20.0,,,,26,3.0,11.0,2.0,3.0,22,5.0
2021-06-14,,,1.0,3.0,,31.0,,11.0,,,,,,10.0,,23.0,,,,31,9.0,31.0,2.0,3.0,15,2.0
2021-06-15,,,,3.0,1.0,32.0,,4.0,,,10.0,,,3.0,,41.0,,,,21,5.0,71.0,,2.0,18,5.0
2021-06-16,,,,2.0,,12.0,,7.0,1.0,,,,,1.0,,11.0,,,,29,6.0,29.0,2.0,1.0,23,5.0
2021-06-17,,,,2.0,,19.0,,5.0,,,,,,4.0,,5.0,,,,29,5.0,27.0,,2.0,20,3.0
2021-06-18,,,,2.0,,22.0,,6.0,,,,,,8.0,,18.0,,33.0,,17,2.0,18.0,2.0,2.0,16,7.0
2021-06-19,,,1.0,3.0,,16.0,,6.0,1.0,,6.0,,,3.0,,18.0,,26.0,,20,3.0,23.0,1.0,,21,2.0
2021-06-20,,,1.0,2.0,,22.0,,8.0,,32.0,10.0,3.0,,13.0,,16.0,,11.0,,31,1.0,33.0,3.0,5.0,30,7.0
2021-06-21,,,,3.0,,10.0,,6.0,,,,,,,,20.0,,6.0,,15,4.0,25.0,1.0,4.0,20,5.0
2021-06-22,,,,4.0,,27.0,,13.0,1.0,,,,,6.0,,30.0,,24.0,,27,,20.0,,5.0,28,7.0
2021-06-23,,,,3.0,1.0,14.0,,13.0,3.0,,,,,20.0,,18.0,,,,19,2.0,47.0,,1.0,20,5.0
2021-06-24,,,,3.0,,4.0,,6.0,1.0,,,,,6.0,,10.0,,11.0,,16,4.0,30.0,,1.0,13,5.0
2021-06-25,,,,3.0,,7.0,,6.0,1.0,,,,,3.0,,16.0,,47.0,,16,4.0,30.0,3.0,2.0,17,2.0
2021-06-26,,,,3.0,,17.0,,9.0,,10.0,,,,5.0,,22.0,,8.0,,35,2.0,25.0,1.0,3.0,26,4.0
2021-06-27,,,,3.0,,16.0,,11.0,2.0,,,,,3.0,,19.0,,36.0,,24,1.0,26.0,1.0,5.0,21,2.0
2021-06-28,,,,3.0,,10.0,,9.0,,,,,,13.0,,19.0,,35.0,,21,1.0,19.0,1.0,1.0,22,6.0
2021-06-29,,,,3.0,,35.0,,10.0,1.0,,,,,9.0,,4.0,,11.0,,19,1.0,33.0,,2.0,26,4.0
2021-06-30,,,,2.0,,16.0,,5.0,,,26.0,,,5.0,,28.0,,15.0,,18,7.0,18.0,,2.0,18,3.0
2021-07-01,,,,3.0,,9.0,,10.0,,,19.0,,,15.0,,32.0,,9.0,,32,1.0,21.0,2.0,2.0,17,1.0
2021-07-02,,,,4.0,,18.0,,9.0,,,,,,6.0,,14.0,,23.0,,17,2.0,9.0,1.0,1.0,15,
2021-07-03,,,,4.0,,8.0,,9.0,1.0,,,,,20.0,,20.0,,23.0,,27,1.0,1.0,,1.0,21,1.0
2021-07-04,,,,3.0,,2.0,,6.0,1.0,,,6.0,,9.0,,16.0,,14.0,,28,2.0,14.0,,2.0,28,3.0
2021-07-05,,,,4.0,,9.0,,11.0,2.0,,6.0,,,5.0,,16.0,,36.0,,28,,11.0,4.0,2.0,19,4.0
2021-07-06,,,,5.0,,11.0,,9.0,1.0,,,,,11.0,,6.0,,21.0,,21,6.0,9.0,1.0,7.0,31,1.0
2021-07-07,,,1.0,4.0,,15.0,,9.0,1.0,,,,,3.0,,13.0,,11.0,,10,3.0,13.0,,4.0,20,2.0
2021-07-08,,,,3.0,,19.0,,14.0,,,,,,8.0,,5.0,,53.0,,23,4.0,14.0,,1.0,20,7.0
2021-07-09,,,,4.0,,15.0,,12.0,,6.0,,,,5.0,1.0,4.0,,26.0,,14,1.0,20.0,1.0,2.0,16,4.0
2021-07-10,,,,3.0,,26.0,,10.0,2.0,,,,,,,14.0,,12.0,,20,1.0,9.0,2.0,4.0,19,2.0
2021-07-11,,,,2.0,,2.0,,6.0,1.0,10.0,,,,,3.0,1.0,,18.0,,26,1.0,9.0,5.0,3.0,24,4.0
2021-07-12,,,,3.0,,17.0,,9.0,,,,,,3.0,,15.0,,17.0,,16,1.0,10.0,4.0,6.0,23,3.0
2021-07-13,,,,3.0,,22.0,,14.0,2.0,19.0,6.0,,,9.0,,8.0,,38.0,,20,1.0,12.0,3.0,4.0,20,3.0
2021-07-14,,,,3.0,,16.0,,6.0,2.0,13.0,,,,3.0,1.0,5.0,,64.0,,17,1.0,11.0,8.0,,20,3.0
2021-07-15,,,,4.0,,19.0,,9.0,1.0,,,,,1.0,1.0,20.0,,52.0,,18,2.0,4.0,,2.0,28,3.0
2021-07-16,,,,5.0,,9.0,,13.0,1.0,,6.0,,,,,5.0,,24.0,,12,1.0,9.0,,1.0,17,3.0
2021-07-17,,,,4.0,,1.0,,12.0,2.0,,,,,1.0,1.0,15.0,,89.0,,13,2.0,16.0,,2.0,19,4.0
2021-07-18,,,,3.0,,16.0,,9.0,1.0,,,,,,3.0,11.0,,48.0,,12,1.0,5.0,1.0,3.0,19,6.0
2021-07-19,,,,4.0,,12.0,,14.0,1.0,6.0,,,,8.0,6.0,11.0,,24.0,,9,,13.0,,4.0,22,3.0
2021-07-20,,,,3.0,,9.0,,8.0,,6.0,13.0,,,3.0,8.0,19.0,,38.0,,27,1.0,19.0,1.0,1.0,18,5.0
2021-07-21,,,,2.0,,27.0,,7.0,,,,,,3.0,,3.0,,32.0,,11,1.0,23.0,,2.0,16,3.0
2021-07-22,,,,4.0,,27.0,,8.0,,6.0,3.0,,,,6.0,10.0,,27.0,,22,4.0,16.0,,3.0,22,4.0
2021-07-23,,,,3.0,,14.0,,14.0,,,6.0,,,,1.0,3.0,,20.0,,12,2.0,15.0,,1.0,18,1.0
2021-07-24,,,,3.0,,8.0,,9.0,1.0,,,,,4.0,76.0,5.0,,26.0,,18,2.0,15.0,1.0,1.0,8,4.0
2021-07-25,,,,3.0,,23.0,,14.0,1.0,,,,,,100.0,13.0,,50.0,,7,5.0,16.0,3.0,1.0,21,4.0
2021-07-26,,,,3.0,,11.0,,8.0,1.0,,,6.0,,4.0,44.0,3.0,,27.0,,18,2.0,17.0,,3.0,20,1.0
2021-07-27,,,,2.0,,9.0,,8.0,,,10.0,,,,18.0,3.0,,20.0,,18,8.0,12.0,,,21,2.0
2021-07-28,,,,2.0,,6.0,,11.0,1.0,,,,,3.0,19.0,1.0,,33.0,,9,1.0,3.0,1.0,1.0,18,2.0
2021-07-29,,,,2.0,,13.0,,3.0,1.0,19.0,,,,1.0,16.0,14.0,,14.0,,10,,16.0,5.0,2.0,14,5.0
2021-07-30,,,,2.0,,14.0,,6.0,,,,,,4.0,11.0,15.0,,6.0,,17,4.0,15.0,,1.0,9,2.0
2021-07-31,,,,3.0,,21.0,,6.0,,,,3.0,,1.0,22.0,6.0,,52.0,,13,4.0,5.0,1.0,1.0,17,2.0
2021-08-01,,,,3.0,,22.0,,9.0,2.0,,6.0,,,6.0,14.0,8.0,,17.0,,21,2.0,16.0,1.0,2.0,15,4.0
2021-08-02,,,,3.0,,16.0,,8.0,1.0,13.0,,,,4.0,57.0,3.0,,44.0,,14,5.0,11.0,,,15,3.0
2021-08-03,,,,3.0,,24.0,,5.0,1.0,6.0,3.0,,,4.0,20.0,35.0,,39.0,2.0,18,5.0,11.0,2.0,3.0,19,2.0
2021-08-04,,,,2.0,,12.0,,4.0,1.0,,,,,9.0,15.0,10.0,,17.0,2.0,12,,6.0,,2.0,16,6.0
2021-08-05,,,,2.0,,67.0,,6.0,2.0,13.0,,,,1.0,24.0,13.0,,50.0,,23,4.0,7.0,1.0,4.0,25,7.0
2021-08-06,,,,2.0,,100.0,,11.0,,3.0,19.0,,,,18.0,5.0,,41.0,3.0,24,5.0,3.0,1.0,5.0,21,2.0
2021-08-07,,,,2.0,,23.0,,8.0,,,3.0,,,6.0,22.0,25.0,,26.0,,16,3.0,9.0,3.0,2.0,21,4.0
2021-08-08,,,,3.0,,29.0,,9.0,,,6.0,,,1.0,28.0,27.0,,45.0,2.0,23,1.0,8.0,2.0,,34,5.0
2021-08-09,,,,2.0,,22.0,,6.0,1.0,3.0,,,,,29.0,15.0,,32.0,,21,5.0,12.0,1.0,4.0,30,4.0
2021-08-10,,,,2.0,,19.0,,11.0,,,10.0,,,8.0,34.0,3.0,,30.0,,13,3.0,10.0,2.0,6.0,21,6.0
2021-08-11,,,,3.0,,20.0,,9.0,,,16.0,,,11.0,6.0,16.0,,20.0,,20,7.0,2.0,1.0,7.0,19,5.0
2021-08-12,,,,3.0,,27.0,,11.0,1.0,,23.0,,,13.0,39.0,1.0,,53.0,,16,2.0,21.0,1.0,3.0,29,1.0
2021-08-13,,,,3.0,,14.0,,9.0,,16.0,10.0,,,4.0,22.0,13.0,,27.0,21.0,9,1.0,5.0,1.0,4.0,18,5.0
2021-08-14,,,,3.0,,20.0,,9.0,2.0,,6.0,19.0,,10.0,32.0,11.0,,65.0,,11,3.0,2.0,,2.0,33,1.0
2021-08-15,,,,3.0,,17.0,,12.0,,,,6.0,,10.0,29.0,8.0,,61.0,,20,3.0,5.0,2.0,2.0,27,2.0
2021-08-16,,,,3.0,,24.0,,14.0,,3.0,19.0,,,3.0,25.0,13.0,,68.0,,24,6.0,16.0,,4.0,32,8.0
2021-08-17,,,,4.0,,14.0,,17.0,1.0,,19.0,,,4.0,25.0,16.0,,42.0,,21,7.0,1.0,,2.0,37,8.0
2021-08-18,,,,3.0,,14.0,,14.0,,16.0,,,,19.0,53.0,4.0,,56.0,,21,4.0,1.0,1.0,4.0,35,6.0
2021-08-19,,,,4.0,,19.0,,10.0,,3.0,13.0,,,16.0,29.0,16.0,2.0,33.0,,31,7.0,4.0,3.0,4.0,24,3.0
2021-08-20,,,,3.0,,9.0,,14.0,,23.0,6.0,,,5.0,9.0,19.0,2.0,14.0,,39,5.0,16.0,2.0,1.0,29,9.0
2021-08-21,,,,3.0,,19.0,,18.0,2.0,3.0,,,,25.0,43.0,18.0,2.0,44.0,,20,7.0,3.0,4.0,4.0,38,6.0
2021-08-22,,,,4.0,,5.0,,18.0,1.0,,,,,11.0,22.0,13.0,3.0,30.0,,24,2.0,5.0,1.0,7.0,23,10.0
2021-08-23,,,,4.0,,37.0,,12.0,,,,3.0,,16.0,30.0,27.0,3.0,68.0,,46,2.0,19.0,3.0,4.0,27,10.0
2021-08-24,,,,4.0,,25.0,,10.0,1.0,,6.0,,,9.0,43.0,24.0,9.0,15.0,,43,1.0,10.0,2.0,8.0,36,16.0
2021-08-25,,,,5.0,,29.0,,9.0,1.0,,,,,6.0,22.0,13.0,11.0,9.0,,25,7.0,7.0,5.0,3.0,44,5.0
2021-08-26,,,,4.0,,20.0,,7.0,1.0,,,,,16.0,34.0,13.0,12.0,11.0,,22,3.0,11.0,1.0,6.0,38,8.0
2021-08-27,,,,4.0,,6.0,,8.0,1.0,,16.0,,,,22.0,4.0,6.0,11.0,,37,6.0,7.0,,4.0,29,8.0
2021-08-28,,,,5.0,,6.0,1.0,11.0,,3.0,,,,1.0,43.0,37.0,5.0,23.0,,27,2.0,11.0,2.0,3.0,35,8.0
2021-08-29,,,,5.0,,10.0,,8.0,,,,,,,14.0,6.0,,35.0,,29,9.0,11.0,1.0,7.0,30,7.0
2021-08-30,,,,6.0,,11.0,1.0,12.0,1.0,,,,,8.0,48.0,13.0,20.0,27.0,,37,13.0,7.0,1.0,1.0,51,16.0
2021-08-31,,,,5.0,,6.0,1.0,17.0,3.0,,,,,1.0,15.0,3.0,2.0,61.0,3.0,32,5.0,13.0,2.0,2.0,48,5.0
2021-09-01,,,,11.0,,9.0,1.0,23.0,,,,6.0,,,15.0,4.0,8.0,15.0,,41,11.0,13.0,1.0,5.0,40,11.0
2021-09-02,,,,5.0,,17.0,2.0,8.0,,23.0,,3.0,,1.0,23.0,4.0,5.0,30.0,,30,5.0,13.0,5.0,4.0,48,10.0
2021-09-03,,,,5.0,,14.0,4.0,18.0,2.0,3.0,,,,8.0,29.0,11.0,6.0,30.0,,31,1.0,9.0,1.0,5.0,42,18.0
2021-09-04,,,,4.0,,18.0,2.0,11.0,,19.0,,,,3.0,11.0,8.0,9.0,41.0,,31,18.0,8.0,3.0,6.0,42,14.0
2021-09-05,,,,6.0,,33.0,2.0,18.0,1.0,,,,,6.0,30.0,16.0,2.0,39.0,,34,6.0,15.0,6.0,6.0,51,17.0
2021-09-06,,,,6.0,,36.0,1.0,9.0,2.0,3.0,,,,3.0,48.0,3.0,3.0,73.0,,46,3.0,11.0,,9.0,67,12.0
2021-09-07,,,,5.0,,34.0,1.0,9.0,,,,3.0,,5.0,32.0,11.0,6.0,18.0,,57,4.0,15.0,2.0,6.0,40,13.0
2021-09-08,,,,6.0,,53.0,1.0,18.0,1.0,16.0,,,,8.0,14.0,15.0,8.0,59.0,,32,10.0,7.0,,2.0,42,16.0
2021-09-09,,1.0,,5.0,,57.0,4.0,10.0,,,,,,3.0,18.0,4.0,17.0,18.0,,39,3.0,9.0,1.0,3.0,49,15.0
2021-09-10,,1.0,,5.0,,30.0,,3.0,2.0,,,6.0,,1.0,8.0,6.0,3.0,39.0,,39,19.0,3.0,1.0,3.0,53,14.0
2021-09-11,,,,7.0,,47.0,1.0,8.0,1.0,,,,,4.0,28.0,19.0,,26.0,,26,11.0,10.0,2.0,6.0,54,24.0
2021-09-12,,1.0,,8.0,,58.0,1.0,10.0,2.0,,3.0,,,16.0,46.0,9.0,9.0,12.0,,50,3.0,10.0,3.0,7.0,51,22.0
2021-09-13,,,,8.0,,29.0,2.0,13.0,1.0,6.0,10.0,10.0,,10.0,35.0,4.0,2.0,18.0,,60,8.0,14.0,1.0,4.0,47,9.0
2021-09-14,,1.0,,7.0,,32.0,2.0,14.0,3.0,26.0,,,,3.0,23.0,9.0,8.0,100.0,,28,11.0,9.0,1.0,4.0,67,7.0
2021-09-15,,1.0,,7.0,,48.0,3.0,11.0,3.0,13.0,,,,20.0,32.0,6.0,3.0,76.0,,31,11.0,8.0,1.0,2.0,40,5.0
2021-09-16,,,,7.0,,43.0,2.0,9.0,5.0,3.0,3.0,,,18.0,27.0,10.0,,56.0,,36,15.0,17.0,1.0,4.0,31,4.0
2021-09-17,,1.0,,6.0,,45.0,1.0,5.0,1.0,,,,,11.0,37.0,10.0,5.0,53.0,,33,5.0,7.0,,1.0,32,6.0
2021-09-18,,1.0,,8.0,,48.0,4.0,7.0,3.0,,,,,11.0,14.0,6.0,2.0,65.0,,36,6.0,13.0,3.0,9.0,43,4.0
2021-09-19,,1.0,,7.0,,43.0,1.0,10.0,2.0,10.0,6.0,,,30.0,32.0,6.0,3.0,74.0,5.0,29,20.0,17.0,2.0,13.0,44,7.0
2021-09-20,,1.0,,6.0,,27.0,2.0,8.0,4.0,,,,,13.0,27.0,16.0,5.0,41.0,,30,6.0,9.0,,8.0,34,4.0
2021-09-21,,1.0,,7.0,,27.0,1.0,14.0,3.0,,,,,25.0,29.0,22.0,3.0,65.0,,35,13.0,12.0,3.0,5.0,44,7.0
2021-09-22,,1.0,,9.0,,38.0,1.0,14.0,5.0,6.0,3.0,,,8.0,35.0,22.0,2.0,85.0,,38,12.0,16.0,4.0,9.0,57,6.0
2021-09-23,,1.0,,8.0,,37.0,3.0,14.0,,,29.0,,,15.0,18.0,16.0,,55.0,,39,5.0,26.0,1.0,4.0,58,5.0
2021-09-24,,1.0,,7.0,,18.0,1.0,5.0,1.0,,3.0,,,9.0,44.0,9.0,5.0,33.0,,25,10.0,1.0,3.0,10.0,48,15.0
2021-09-25,,1.0,,8.0,,31.0,4.0,11.0,2.0,,6.0,,,4.0,39.0,10.0,,30.0,,34,5.0,11.0,10.0,9.0,41,11.0
2021-09-26,,1.0,,9.0,,20.0,2.0,8.0,,19.0,32.0,,,6.0,29.0,16.0,5.0,8.0,,63,4.0,8.0,,4.0,58,9.0
2021-09-27,,2.0,,8.0,,22.0,3.0,23.0,2.0,,3.0,,,1.0,1.0,32.0,8.0,56.0,,34,9.0,7.0,3.0,8.0,40,12.0
2021-09-28,,1.0,,8.0,,12.0,1.0,13.0,2.0,6.0,52.0,,,5.0,5.0,22.0,3.0,9.0,,47,9.0,18.0,,5.0,42,12.0
2021-09-29,,1.0,,9.0,,27.0,1.0,9.0,1.0,23.0,10.0,,,11.0,20.0,28.0,,9.0,,29,7.0,16.0,,7.0,41,16.0
2021-09-30,,1.0,,7.0,,22.0,3.0,3.0,4.0,,,,,22.0,22.0,30.0,8.0,14.0,,34,8.0,5.0,3.0,5.0,37,15.0
2021-10-01,,1.0,,8.0,,32.0,2.0,4.0,,6.0,19.0,,,5.0,15.0,32.0,2.0,76.0,,26,7.0,6.0,1.0,5.0,39,9.0
2021-10-02,,1.0,,8.0,,39.0,2.0,8.0,1.0,10.0,,,,8.0,5.0,15.0,6.0,29.0,,36,14.0,7.0,2.0,7.0,49,6.0
2021-10-03,,2.0,,9.0,,47.0,3.0,5.0,3.0,,16.0,,,3.0,16.0,43.0,5.0,20.0,,26,12.0,9.0,2.0,5.0,59,5.0
2021-10-04,,3.0,,9.0,,17.0,4.0,13.0,2.0,,,10.0,,10.0,3.0,3.0,9.0,47.0,,40,26.0,9.0,1.0,5.0,46,12.0
2021-10-05,,2.0,,9.0,,30.0,,12.0,2.0,,,,,15.0,9.0,11.0,3.0,21.0,,34,9.0,8.0,1.0,7.0,44,20.0
2021-10-06,,3.0,1.0,7.0,,22.0,1.0,13.0,2.0,,,,,10.0,8.0,6.0,6.0,56.0,,59,9.0,18.0,1.0,6.0,67,19.0
2021-10-07,,3.0,1.0,9.0,,24.0,1.0,11.0,1.0,,45.0,,,1.0,13.0,6.0,61.0,56.0,,38,15.0,10.0,12.0,7.0,61,18.0
2021-10-08,,2.0,,7.0,,23.0,1.0,13.0,2.0,,,,,14.0,3.0,23.0,18.0,24.0,,48,7.0,5.0,2.0,6.0,57,10.0
2021-10-09,,2.0,,8.0,,17.0,3.0,10.0,1.0,,3.0,,,11.0,,35.0,18.0,36.0,,40,11.0,9.0,5.0,6.0,45,13.0
2021-10-10,,2.0,,9.0,,19.0,2.0,12.0,1.0,,,3.0,,16.0,15.0,29.0,5.0,12.0,,42,35.0,4.0,2.0,6.0,46,15.0
2021-10-11,,2.0,,9.0,,45.0,3.0,10.0,,,10.0,,,19.0,3.0,29.0,9.0,30.0,,61,20.0,7.0,13.0,5.0,56,5.0
2021-10-12,,2.0,,8.0,,12.0,1.0,8.0,1.0,,,6.0,,6.0,20.0,20.0,3.0,33.0,2.0,51,17.0,12.0,5.0,4.0,51,13.0
2021-10-13,,2.0,1.0,10.0,,32.0,2.0,12.0,3.0,6.0,,,,3.0,15.0,24.0,8.0,59.0,,36,12.0,17.0,2.0,6.0,58,27.0
2021-10-14,,2.0,,8.0,,23.0,4.0,8.0,1.0,13.0,6.0,,,19.0,13.0,13.0,,70.0,,33,15.0,22.0,2.0,3.0,57,15.0
2021-10-15,,2.0,,9.0,,10.0,2.0,9.0,1.0,,13.0,,,3.0,8.0,27.0,11.0,45.0,,39,5.0,13.0,1.0,3.0,35,12.0
2021-10-16,1.0,2.0,,7.0,,18.0,5.0,12.0,,,3.0,,,1.0,18.0,22.0,,74.0,,35,17.0,10.0,2.0,7.0,40,32.0
2021-10-17,,2.0,,8.0,,11.0,,10.0,,,6.0,,,5.0,19.0,3.0,,41.0,,42,14.0,8.0,3.0,5.0,62,14.0
2021-10-18,,3.0,,9.0,,16.0,1.0,11.0,1.0,3.0,16.0,,,18.0,28.0,16.0,,17.0,,38,9.0,5.0,2.0,3.0,41,16.0
2021-10-19,,3.0,,8.0,,11.0,3.0,11.0,,6.0,68.0,,,3.0,8.0,43.0,,8.0,,40,9.0,21.0,3.0,1.0,47,19.0
2021-10-20,,2.0,,9.0,,23.0,1.0,5.0,,,65.0,,,6.0,25.0,20.0,8.0,8.0,,35,15.0,10.0,5.0,6.0,50,16.0
2021-10-21,,2.0,,7.0,,9.0,1.0,9.0,,,71.0,,,4.0,11.0,39.0,2.0,18.0,,61,16.0,15.0,6.0,10.0,53,17.0
2021-10-22,,2.0,,6.0,,34.0,,7.0,1.0,3.0,,,,8.0,29.0,6.0,5.0,,,61,33.0,12.0,24.0,13.0,61,14.0
2021-10-23,,3.0,,6.0,,14.0,,14.0,,13.0,,,,3.0,14.0,16.0,,14.0,,54,33.0,12.0,8.0,10.0,54,15.0
2021-10-24,,3.0,,7.0,,25.0,,5.0,1.0,,10.0,,,8.0,4.0,25.0,3.0,5.0,,42,23.0,9.0,12.0,12.0,54,17.0
2021-10-25,,2.0,,7.0,,22.0,1.0,7.0,1.0,6.0,6.0,,,11.0,14.0,33.0,8.0,9.0,,63,17.0,6.0,4.0,7.0,65,11.0
2021-10-26,,3.0,,7.0,,44.0,1.0,11.0,2.0,3.0,13.0,,,6.0,48.0,19.0,33.0,27.0,,56,12.0,9.0,7.0,9.0,51,19.0
2021-10-27,,3.0,,9.0,,15.0,1.0,9.0,,,3.0,,,13.0,18.0,18.0,9.0,24.0,,57,21.0,6.0,6.0,12.0,53,26.0
2021-10-28,,2.0,,7.0,,12.0,,7.0,2.0,,,6.0,,3.0,20.0,8.0,11.0,33.0,,36,8.0,18.0,5.0,5.0,38,20.0
2021-10-29,,2.0,,6.0,,22.0,1.0,6.0,,,,3.0,,,19.0,22.0,3.0,38.0,,51,9.0,9.0,6.0,6.0,43,8.0
2021-10-30,,2.0,,5.0,,12.0,,8.0,,13.0,10.0,,,14.0,28.0,16.0,18.0,27.0,,33,9.0,14.0,6.0,4.0,45,10.0
2021-10-31,,2.0,,7.0,,12.0,,10.0,,6.0,,,,10.0,18.0,34.0,17.0,17.0,,45,9.0,6.0,11.0,6.0,50,12.0
2021-11-01,,2.0,,8.0,,9.0,,12.0,,,10.0,6.0,,11.0,10.0,41.0,,14.0,,42,19.0,15.0,10.0,6.0,49,13.0
2021-11-02,,2.0,,9.0,,5.0,1.0,14.0,,,10.0,,,5.0,16.0,29.0,2.0,9.0,,43,9.0,6.0,9.0,8.0,50,18.0
2021-11-03,,2.0,,7.0,,13.0,,5.0,,6.0,100.0,,,3.0,39.0,41.0,5.0,5.0,,33,9.0,11.0,3.0,5.0,43,16.0
2021-11-04,,2.0,,7.0,,12.0,,9.0,,,13.0,,,11.0,18.0,16.0,5.0,27.0,,45,11.0,10.0,3.0,4.0,56,19.0
2021-11-05,,2.0,,5.0,,8.0,,9.0,,,6.0,10.0,,1.0,14.0,10.0,,9.0,,42,7.0,1.0,7.0,5.0,30,10.0
2021-11-06,,3.0,,9.0,,9.0,,10.0,,,6.0,,,4.0,3.0,9.0,5.0,5.0,,34,6.0,18.0,9.0,4.0,34,11.0
2021-11-07,,4.0,,20.0,,16.0,1.0,29.0,1.0,13.0,,,,1.0,11.0,25.0,,5.0,,49,14.0,21.0,4.0,5.0,59,10.0
2021-11-08,,5.0,,13.0,,4.0,1.0,10.0,,,6.0,10.0,,8.0,15.0,23.0,,8.0,,48,7.0,17.0,18.0,3.0,41,22.0
2021-11-09,,4.0,,8.0,,10.0,2.0,10.0,,,35.0,,,5.0,6.0,14.0,11.0,39.0,,45,5.0,7.0,10.0,3.0,44,14.0
2021-11-10,,3.0,,6.0,,9.0,3.0,9.0,1.0,,,,,10.0,20.0,27.0,,21.0,,45,10.0,14.0,5.0,3.0,36,13.0
2021-11-11,,3.0,,7.0,,20.0,1.0,9.0,,,,,,9.0,5.0,30.0,,21.0,,57,6.0,13.0,1.0,6.0,40,12.0
2021-11-12,,2.0,,6.0,,11.0,1.0,10.0,,3.0,,,,6.0,3.0,20.0,2.0,6.0,,35,10.0,11.0,2.0,6.0,33,11.0
2021-11-13,,2.0,,6.0,,3.0,1.0,6.0,,10.0,23.0,,,11.0,19.0,15.0,5.0,15.0,,44,8.0,10.0,1.0,8.0,33,9.0
